H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,2,0,.000,近藤　廉,3,1,1,0,0,2021,中　日,10,2,0,1,0,0,0,2,1,4.50
0,1,23,1,59,1,.200,Ｒ．マルティネス,10,11,26,0,0,2021,中　日,178,48,4,1,1,1,0,49,11,2.06
0,0,1,0,24,0,.000,木下　雄介,12,9,19,0,0,2020,中　日,81,17,0,1,1,1,0,18,8,4.08
0,0,0,0,10,0,.000,丸山　泰資,6,13,16,0,0,2017,中　日,57,12,0,0,2,1,0,8,11,8.25
0,0,0,0,20,1,.333,東　克樹,4,5,10,0,0,2021,横浜DeNA,75,19,2,0,1,0,0,3,5,2.29
0,0,0,0,18,2,.400,阪口　皓亮,19,20,37,0,0,2021,横浜DeNA,160,35,3,3,4,1,0,8,16,4.11
6,6,0,0,38,0,.000,伊勢　大夢,15,11,30,0,0,2021,横浜DeNA,144,35,1,2,0,1,0,39,11,2.80
2,3,0,0,39,1,.333,石田　健大,18,24,44,0,0,2021,横浜DeNA,168,37,2,1,4,2,0,33,24,5.73
0,0,0,0,106,6,.462,大貫　晋一,30,57,137,0,0,2021,横浜DeNA,499,112,7,3,9,3,0,22,54,4.34
1,4,23,0,57,3,.375,三嶋　一輝,12,31,66,0,0,2021,横浜DeNA,246,57,5,3,8,0,0,59,26,4.08
27,30,1,0,39,3,.600,山﨑　康晃,14,21,58,0,0,2021,横浜DeNA,229,55,2,0,2,3,0,60,20,3.27
0,0,0,0,46,4,.400,坂本　裕哉,22,43,89,0,0,2021,横浜DeNA,310,70,6,2,9,3,0,16,41,5.25
0,0,0,0,110,5,.500,今永　昇太,26,43,97,0,1,2021,横浜DeNA,476,120,5,0,16,4,1,19,41,3.08
0,0,0,1,14,0,.000,入江　大生,5,18,22,0,0,2021,横浜DeNA,80,18,4,1,4,1,0,4,16,7.85
0,0,0,0,20,0,.000,齋藤　俊介,8,19,31,0,0,2019,横浜DeNA,115,25,1,3,1,2,0,16,16,5.76
0,0,0,0,84,5,.417,濵口　遥大,52,42,73,1,1,2021,横浜DeNA,387,91,7,5,8,3,0,17,40,3.94
0,0,0,0,26,1,.250,上茶谷　大河,17,27,37,0,0,2021,横浜DeNA,155,34,3,1,5,1,0,8,27,7.15
0,0,0,0,9,0,.000,飯塚　悟史,3,14,17,0,0,2019,横浜DeNA,52,11,1,0,4,1,0,5,14,11.12
3,5,1,0,34,2,1.000,平田　真吾,21,21,41,0,0,2021,横浜DeNA,185,41,0,1,6,2,0,38,19,4.10
3,5,0,0,25,2,.667,三上　朋也,9,15,36,0,0,2021,横浜DeNA,148,35,1,0,5,1,0,40,15,3.86
1,1,0,1,37,0,.000,櫻井　周斗,29,15,36,0,0,2021,横浜DeNA,181,41,1,3,3,0,0,30,14,3.07
0,0,0,0,44,5,.625,Ｆ．ロメロ,30,38,89,1,1,2021,横浜DeNA,349,80,3,4,4,5,0,14,27,3.01
0,0,0,0,1,0,.000,進藤　拓也,1,0,0,0,0,2021,横浜DeNA,6,1,0,0,0,2,0,2,0,0.00
0,1,0,0,41,3,.429,Ｍ．ピープルズ,14,23,41,0,0,2021,横浜DeNA,191,47,4,0,5,2,0,18,22,4.21
0,0,0,0,6,0,.000,田中　健二朗,2,0,3,0,0,2021,横浜DeNA,18,4,0,1,0,1,0,8,0,0.00
18,20,0,0,27,2,.500,砂田　毅樹,13,15,26,0,0,2021,横浜DeNA,166,41,2,2,1,2,0,58,15,3.24
0,0,0,0,67,2,.222,京山　将弥,41,47,91,0,0,2021,横浜DeNA,353,76,7,3,9,2,0,16,42,4.97
4,5,1,0,34,1,1.000,Ｋ．シャッケルフォード,16,19,28,0,0,2021,横浜DeNA,141,31,0,4,3,5,0,32,18,5.17
0,0,0,0,2,0,.000,池谷　蒼大,2,0,2,0,0,2021,横浜DeNA,25,6,0,0,0,1,0,6,0,0.00
0,0,0,0,1,0,.000,武藤　祐太,0,0,0,0,0,2021,横浜DeNA,1,0,0,0,0,0,0,1,0,0.00
0,0,0,0,6,0,.000,平良　拳太郎,3,1,6,0,0,2021,横浜DeNA,39,10,0,0,0,0,0,2,1,0.90
32,36,1,0,50,4,.500,Ｅ．エスコバー,11,23,39,0,0,2021,横浜DeNA,229,58,4,0,7,4,0,61,22,3.38
0,0,0,0,6,0,.000,風張　蓮,0,6,12,0,0,2021,横浜DeNA,33,7,0,0,2,0,0,5,6,7.71
0,0,0,0,14,1,.500,宮國　椋丞,5,11,18,0,0,2021,横浜DeNA,68,16,1,0,3,0,0,3,11,6.19
0,0,0,0,3,0,.000,有吉　優樹,0,2,8,0,0,2021,横浜DeNA,27,6,1,0,1,0,0,1,2,2.70
17,19,2,0,19,2,1.000,国吉　佑樹,17,4,18,0,0,2021,千葉ロッテ,106,25,0,2,0,0,0,25,4,1.44
0,0,0,0,24,0,.000,中川　虎大,15,22,32,0,0,2021,横浜DeNA,122,26,1,1,3,0,0,7,19,6.49
0,0,0,0,1,0,.000,笠井　崇正,2,6,5,0,0,2021,横浜DeNA,11,1,0,0,1,1,0,1,6,54.00
0,0,0,1,102,13,.591,九里　亜蓮,51,73,150,0,2,2021,広島東洋,647,149,9,4,18,8,1,25,63,3.81
3,5,0,0,35,4,.500,大道　温貴,25,30,50,0,0,2021,広島東洋,230,53,4,1,4,2,0,24,28,4.75
17,20,0,0,41,3,.500,森浦　大輔,21,18,39,0,0,2021,広島東洋,206,48,3,3,3,4,0,54,17,3.17
0,0,0,0,102,10,.667,大瀬良　大地,31,57,136,1,1,2021,広島東洋,600,146,5,1,12,5,0,23,50,3.07
1,1,0,0,1,0,.000,今村　猛,2,6,10,0,0,2020,広島東洋,25,4,0,1,0,0,0,6,6,12.46
0,0,0,0,4,0,.000,岡田　明丈,11,12,9,0,0,2019,広島東洋,39,7,2,0,2,0,0,3,11,14.14
0,0,0,0,132,8,.533,森下　暢仁,52,55,144,1,1,2021,広島東洋,672,163,7,6,16,3,0,24,54,2.98
0,0,0,0,29,0,.000,野村　祐輔,17,25,48,0,0,2021,広島東洋,171,35,4,2,6,2,0,8,25,6.31
0,0,37,1,81,0,.000,栗林　良吏,28,5,23,0,0,2021,広島東洋,201,52,1,1,1,1,0,53,5,0.86
0,0,0,0,1,0,.000,中﨑　翔太,2,8,9,0,0,2021,広島東洋,24,4,0,0,0,0,0,4,6,13.50
